Date_Time_1,subjectID,Group,actual_allmeters,actual_foodupa,actual_pedmeters,actual_waterupa,bodymass,bodytemp,envirolightlux,envirooccupancy,envirorh,envirosound,envirotemp,kcal_hr,rq,si13c,vco2,vh2o,vo2,xbreak,ybreak,zbreak
03/20/2022 14:00:01,15,Late_TRF,0.9902639999999998,0.001413499999999998,0.586398,0.0,37.06836,-1.0,,,,,,0.4950321,0.8096392,-1.0,1.382662,0.2692325,1.705484,116.0,100.0,0.0
03/20/2022 14:00:01,16,Late_TRF,3.137549999999999,0.0036149499999999987,1.5309920000000004,0.003199839999999999,33.96237,-1.0,,,,,,0.4987504,0.7934283,-1.0,1.36981,0.3105874,1.724815,336.0,275.0,0.0
03/20/2022 14:00:01,2,LowFat,2.5892300000000006,0.30602799999999997,1.2313889999999992,0.0,31.4175,-1.0,0.0,0.0,0.0,0.0,0.0,0.5718547,0.9217119,-1.0,1.773031,0.3475318,1.920817,217.0,206.0,0.0
03/20/2022 14:00:01,3,LowFat,3.8688160000000007,0.154686,1.754594,0.006794400000000006,32.7701,-1.0,,,,,,0.4833561,0.9353556,-1.0,1.515782,0.2562518,1.618747,318.0,246.0,0.0
03/20/2022 14:00:01,4,LowFat,3.3020200000000006,0.19056610000000002,1.7647700000000004,0.0924809,32.1992,-1.0,,,,,,0.5228821,0.9065277,-1.0,1.597676,0.2937035,1.762921,243.0,239.0,0.0
03/20/2022 14:00:01,5,HighFatAdLibitum,1.9397649999999995,0.2826682,1.115729,0.0,39.08807,-1.0,,,,,,0.6036724,0.8105848,-1.0,1.689621,0.419773,2.078784,240.0,280.0,0.0
03/20/2022 14:00:01,6,HighFatAdLibitum,3.135444999999999,0.3182899,2.4040560000000006,0.029228829999999997,42.65762,-1.0,,,,,,0.6954243,0.8125383,-1.0,1.945737,0.3822123,2.39493,232.0,322.0,0.0
03/20/2022 14:00:01,7,HighFatAdLibitum,3.3728799999999985,0.19329251999999997,1.9831599999999998,0.060111069999999996,39.2374,-1.0,,,,,,0.3848561,0.7632613,-1.0,1.026452,0.2366094,1.339511,391.0,376.0,0.0
03/20/2022 14:00:01,8,HighFatAdLibitum,0.5348689999999996,0.04333210000000001,0.17141000000000028,0.003125450000000002,25.21603,-1.0,,,,,,0.5851454,0.7621905,-1.0,1.553845,0.3222759,2.038536,62.0,103.0,0.0
03/20/2022 14:00:01,9,Early_TRF,8.68667,0.3011081,5.569089,0.05239067,33.14748,-1.0,,,,,,0.4532675,0.7311109,-1.0,1.163773,0.3415436,1.590288,88.0,26.0,0.0
03/20/2022 15:00:01,1,LowFat,4.774369999999998,0.0762345000000001,3.8311100000000025,0.04820479999999994,31.36237,-1.0,,,,,,0.549735,0.8943311,-1.0,1.661848,0.2987396,1.858474,40.0,97.0,0.0
03/20/2022 15:00:01,10,Early_TRF,3.263070000000001,0.00924225,2.5535300000000003,0.0005708060000000003,34.50165,-1.0,,,,,,0.4533843,0.7415837,-1.0,1.17652,0.2770023,1.587205,0.0,0.0,0.0
03/20/2022 15:00:01,11,Early_TRF,7.807079999999996,0.002275779999999998,4.98706,0.005935755,36.51361,-1.0,,,,,,0.5836149,0.7280968,-1.0,1.495252,0.3186695,2.048507,570.0,730.0,0.0
03/20/2022 15:00:01,12,Early_TRF,2.7590500000000002,0.003329229999999999,1.1960570000000006,0.007290829999999998,15.86967,-1.0,,,,,,0.4809711,0.7237584,-1.0,1.225333,0.2326305,1.690172,196.0,184.0,0.0
03/20/2022 15:00:01,13,Late_TRF,2.7693399999999997,0.0,1.5278499999999973,0.0,31.15523,-1.0,,,,,,0.4753625,0.7809936,-1.0,1.287914,0.298226,1.64889,165.0,180.0,0.0
03/20/2022 15:00:01,14,Late_TRF,6.82412,0.0,4.848756,0.0,34.6931,-1.0,,,,,,0.6286425,0.7443593,-1.0,1.637375,0.3317508,2.199045,1114.0,1283.0,0.0
03/20/2022 15:00:01,15,Late_TRF,2.040840000000001,0.0008162500000000045,0.9691429999999999,0.02590545999999999,37.06836,-1.0,,,,,,0.562886,0.7998943,-1.0,1.555413,0.2593739,1.94396,556.0,775.0,0.0
03/20/2022 15:00:01,16,Late_TRF,2.6995400000000007,0.016095920000000007,1.1674869999999995,0.0,33.96237,-1.0,,,,,,0.5247371,0.7964357,-1.0,1.443551,0.2936288,1.81402,469.0,453.0,0.0
03/20/2022 15:00:01,2,LowFat,2.4632099999999983,0.2723601,1.2681920000000009,0.0,31.4175,-1.0,0.0,0.0,0.0,0.0,0.0,0.5587912,0.9474029,-1.0,1.769464,0.3119861,1.866572,254.0,255.0,0.0
03/20/2022 15:00:01,3,LowFat,1.9147499999999997,0.18720570000000003,0.2551099999999993,0.08326829999999996,32.7701,-1.0,,,,,,0.4867609,0.9266106,-1.0,1.513228,0.240466,1.633862,203.0,232.0,0.0
03/20/2022 15:00:01,4,LowFat,1.8412100000000002,0.23925639999999992,0.5986799999999999,0.2201712,32.1992,-1.0,,,,,,0.5553958,0.9355999,-1.0,1.742659,0.2568406,1.859735,207.0,346.0,0.0
03/20/2022 15:00:01,5,HighFatAdLibitum,1.9704010000000007,0.1759558,0.5999600000000003,0.0,39.08807,-1.0,,,,,,0.5789754,0.8251966,-1.0,1.642321,0.3805904,1.987613,87.0,81.0,0.0
03/20/2022 15:00:01,6,HighFatAdLibitum,2.375860000000001,0.24558219999999997,1.8104449999999996,0.05707822,42.65762,-1.0,,,,,,0.6673089,0.8206179,-1.0,1.885944,0.3388225,2.292809,153.0,239.0,0.0
03/20/2022 15:00:01,7,HighFatAdLibitum,1.7836300000000023,0.09590340000000003,0.9520099999999996,0.0151453,39.37521,-1.0,,,,,,0.368074,0.771931,-1.0,0.9878386,0.2147372,1.279375,115.0,155.0,0.0
03/20/2022 15:00:01,8,HighFatAdLibitum,2.1999400000000007,0.3198705,1.2957739999999998,0.0,25.16017,-1.0,,,,,,0.5902611,0.8068419,-1.0,1.644737,0.3099314,2.034662,253.0,282.0,0.0
03/20/2022 15:00:01,9,Early_TRF,1.4775500000000008,0.0,0.8300999999999998,0.0,33.14748,-1.0,,,,,,0.5090404,0.7553244,-1.0,1.346292,0.2984674,1.774932,593.0,384.0,0.0
03/20/2022 16:00:01,1,LowFat,2.3494400000000013,0.22019520000000004,1.6762499999999996,0.12892740000000003,31.98459,-1.0,,,,,,0.6078606,0.9375086,-1.0,1.908504,0.3020292,2.035069,276.0,342.0,0.0
03/20/2022 16:00:01,10,Early_TRF,1.6786700000000003,0.23217710999999996,1.4108,0.017791401,34.62312,-1.0,,,,,,0.5461798,0.7751102,-1.0,1.472181,0.2760951,1.896667,169.0,264.0,0.0
